Exercise,BodyPart,Difficulty,Intensity,MovementPattern,Equipment,RecommendedReps,RecommendedSets,Description,MuscleGroups,GifUrl
barbell speed squat,upper legs,5,High,Core,Kettlebell,12-15,4,No description provided,General,
barbell squat (on knees),upper legs,1,Medium,Compound,Cable,8-12,1,No description provided,General,
barbell step-up,upper legs,3,Medium,Cardio,Cable,15-20,3,No description provided,General,
barbell stiff leg good morning,upper legs,3,High,Isolation,Band,8-12,3,No description provided,General,
barbell straight leg deadlift,upper legs,1,Medium,Core,Cable,15-20,4,No description provided,General,
barbell sumo deadlift,upper legs,5,Medium,Pull,Dumbbell,Max Effort,4,No description provided,General,
barbell wide squat,upper legs,5,Low,Pull,Cable,12-15,1,No description provided,General,
barbell zercher squat,upper legs,4,Medium,Core,Barbell,8-12,1,No description provided,General,
bench hip extension,upper legs,5,High,Compound,Kettlebell,15-20,2,No description provided,General,
cable deadlift,upper legs,5,Low,Push,Kettlebell,15-20,4,No description provided,General,
cable hip adduction,upper legs,1,Low,Push,Kettlebell,12-15,4,No description provided,General,
cable pull through (with rope),upper legs,1,Low,Compound,Cable,Max Effort,2,No description provided,General,
cable standing hip extension,upper legs,5,High,Push,Machine,8-12,1,No description provided,General,
dumbbell bench squat,upper legs,2,Low,Push,Kettlebell,12-15,1,No description provided,General,
dumbbell clean,upper legs,3,Medium,Core,Barbell,Max Effort,4,No description provided,General,
dumbbell deadlift,upper legs,2,High,Core,Machine,15-20,1,No description provided,General,
dumbbell lunge,upper legs,1,High,Isolation,Kettlebell,Max Effort,2,No description provided,General,
dumbbell lying femoral,upper legs,5,High,Push,Body Weight,8-12,2,No description provided,General,
dumbbell plyo squat,upper legs,2,Medium,Cardio,Barbell,Max Effort,1,No description provided,General,
dumbbell rear lunge,upper legs,2,High,Push,Barbell,8-12,2,No description provided,General,
dumbbell single leg split squat,upper legs,5,Low,Compound,Barbell,Max Effort,3,No description provided,General,
dumbbell single leg squat,upper legs,4,Low,Cardio,Machine,15-20,4,No description provided,General,
dumbbell squat,upper legs,5,Medium,Isolation,Kettlebell,8-12,2,No description provided,General,
dumbbell step-up,upper legs,4,Medium,Core,Dumbbell,8-12,3,No description provided,General,
dumbbell stiff leg deadlift,upper legs,2,High,Pull,Machine,8-12,2,No description provided,General,
dumbbell straight leg deadlift,upper legs,4,Medium,Isolation,Machine,Max Effort,4,No description provided,General,
flutter kicks,upper legs,5,Low,Pull,Body Weight,Max Effort,3,No description provided,General,
inverse leg curl (bench support),upper legs,1,High,Push,Kettlebell,Max Effort,1,No description provided,General,
jump squat v. 2,upper legs,4,Medium,Core,Band,8-12,1,No description provided,General,
jump squat,upper legs,3,High,Core,None,12-15,3,No description provided,General,
kettlebell front squat,upper legs,1,Low,Push,Dumbbell,12-15,4,No description provided,General,
kettlebell goblet squat,upper legs,4,High,Cardio,Kettlebell,8-12,3,No description provided,General,
kettlebell hang clean,upper legs,3,High,Cardio,Kettlebell,12-15,1,No description provided,General,
kettlebell lunge pass through,upper legs,2,Medium,Cardio,Cable,12-15,4,No description provided,General,
kettlebell pistol squat,upper legs,4,High,Cardio,Body Weight,15-20,3,No description provided,General,
kettlebell swing,upper legs,1,High,Compound,Barbell,15-20,2,No description provided,General,
kettlebell turkish get up (squat style),upper legs,3,High,Pull,None,Max Effort,2,No description provided,General,
kick out sit,upper legs,1,Medium,Pull,Band,15-20,4,No description provided,General,
lever deadlift,upper legs,4,Low,Core,Body Weight,12-15,3,No description provided,General,
lever kneeling leg curl,upper legs,2,Low,Cardio,None,8-12,2,No description provided,General,
lever leg extension,upper legs,4,High,Compound,Dumbbell,12-15,3,No description provided,General,
lever lying leg curl,upper legs,1,High,Core,Cable,8-12,2,No description provided,General,
lever reverse hyperextension,upper legs,1,High,Pull,Cable,8-12,4,No description provided,General,
lever seated hip abduction,upper legs,3,High,Push,Kettlebell,8-12,3,No description provided,General,
lever seated hip adduction,upper legs,4,High,Pull,None,12-15,1,No description provided,General,
lever seated leg curl,upper legs,3,Low,Pull,Barbell,Max Effort,4,No description provided,General,
lying (side) quads stretch,upper legs,1,Low,Push,Cable,8-12,2,No description provided,General,
march sit (wall),upper legs,1,Low,Isolation,Body Weight,12-15,1,No description provided,General,
monster walk,upper legs,4,High,Compound,Machine,12-15,4,No description provided,General,
outside leg kick push-up,upper legs,4,Low,Isolation,Machine,12-15,2,No description provided,General,
power clean,upper legs,1,High,Pull,Machine,8-12,4,No description provided,General,
push-up inside leg kick,upper legs,5,Low,Pull,Barbell,12-15,4,No description provided,General,
rear decline bridge,upper legs,3,Medium,Compound,Band,15-20,3,No description provided,General,
reverse hyper extension (on stability ball),upper legs,5,High,Cardio,Barbell,8-12,2,No description provided,General,
self assisted inverse leg curl (on floor),upper legs,2,Medium,Core,Dumbbell,12-15,3,No description provided,General,
self assisted inverse leg curl,upper legs,1,Medium,Isolation,Dumbbell,Max Effort,4,No description provided,General,
side hip abduction,upper legs,3,Medium,Cardio,None,8-12,3,No description provided,General,
single leg platform slide,upper legs,3,Medium,Compound,Cable,Max Effort,1,No description provided,General,
sled 45в° leg press,upper legs,4,High,Cardio,Cable,Max Effort,4,No description provided,General,
sled 45в° leg wide press,upper legs,1,High,Isolation,Kettlebell,8-12,1,No description provided,General,
sled closer hack squat,upper legs,5,Low,Compound,Band,15-20,4,No description provided,General,
sled hack squat,upper legs,4,High,Core,Body Weight,15-20,2,No description provided,General,
sled lying squat,upper legs,3,Low,Isolation,None,12-15,3,No description provided,General,
smith bent knee good morning,upper legs,4,High,Isolation,Body Weight,15-20,1,No description provided,General,
smith chair squat,upper legs,1,Medium,Core,Barbell,12-15,2,No description provided,General,
smith deadlift,upper legs,2,Low,Push,Machine,Max Effort,4,No description provided,General,
smith hack squat,upper legs,5,Medium,Core,Band,8-12,4,No description provided,General,
smith leg press,upper legs,5,High,Push,Dumbbell,Max Effort,3,No description provided,General,
smith single leg split squat,upper legs,5,High,Cardio,Dumbbell,12-15,4,No description provided,General,
smith sprint lunge,upper legs,5,Medium,Pull,Barbell,Max Effort,1,No description provided,General,
smith squat,upper legs,1,Medium,Cardio,Cable,8-12,2,No description provided,General,
snatch pull,upper legs,5,High,Push,Band,15-20,1,No description provided,General,
spider crawl push up,upper legs,3,High,Pull,Body Weight,Max Effort,2,No description provided,General,
squat jerk,upper legs,3,Low,Push,Machine,15-20,2,No description provided,General,
standing single leg curl,upper legs,5,Low,Compound,None,12-15,3,No description provided,General,
suspended split squat,upper legs,2,Medium,Isolation,Body Weight,8-12,3,No description provided,General,
trap bar deadlift,upper legs,5,Low,Cardio,Barbell,8-12,3,No description provided,General,
weighted sissy squat,upper legs,5,Low,Push,Cable,12-15,3,No description provided,General,
weighted squat,upper legs,5,Medium,Core,Dumbbell,8-12,1,No description provided,General,
band bent-over hip extension,upper legs,4,Medium,Pull,Band,Max Effort,2,No description provided,General,
band lying hip internal rotation,upper legs,4,Medium,Compound,Band,12-15,2,No description provided,General,
band one arm single leg split squat,upper legs,3,High,Core,Dumbbell,12-15,2,No description provided,General,
band pull through,upper legs,1,Medium,Compound,Kettlebell,15-20,2,No description provided,General,
band seated hip internal rotation,upper legs,4,Medium,Pull,Barbell,8-12,2,No description provided,General,
band single leg split squat,upper legs,4,High,Cardio,Band,Max Effort,4,No description provided,General,
band squat row,upper legs,5,Medium,Push,Body Weight,15-20,4,No description provided,General,
band squat,upper legs,5,Low,Push,Kettlebell,15-20,1,No description provided,General,
band step-up,upper legs,4,Low,Isolation,Dumbbell,15-20,4,No description provided,General,
band stiff leg deadlift,upper legs,1,High,Compound,Kettlebell,8-12,1,No description provided,General,
band straight back stiff leg deadlift,upper legs,4,Low,Cardio,Machine,15-20,1,No description provided,General,
band hip lift,upper legs,1,Low,Pull,Dumbbell,15-20,1,No description provided,General,
barbell glute bridge,upper legs,3,High,Core,Band,12-15,3,No description provided,General,
barbell lateral lunge,upper legs,3,High,Isolation,Body Weight,Max Effort,4,No description provided,General,
exercise ball one leg prone lower body rotation,upper legs,2,Low,Compound,Band,12-15,1,No description provided,General,
exercise ball one legged diagonal kick hamstring curl,upper legs,5,Medium,Isolation,Dumbbell,12-15,2,No description provided,General,
hug keens to chest,upper legs,5,High,Core,Machine,15-20,1,No description provided,General,
iron cross stretch,upper legs,5,High,Cardio,Machine,Max Effort,2,No description provided,General,
kneeling jump squat,upper legs,5,Medium,Cardio,Kettlebell,8-12,1,No description provided,General,
pelvic tilt into bridge,upper legs,2,High,Pull,Band,12-15,4,No description provided,General,
reverse hyper on flat bench,upper legs,2,Medium,Cardio,Band,12-15,1,No description provided,General,
seated glute stretch,upper legs,1,Low,Push,Cable,12-15,1,No description provided,General,
sled 45 degrees one leg press,upper legs,3,Medium,Core,Machine,15-20,3,No description provided,General,
straight leg outer hip abductor,upper legs,4,High,Compound,Body Weight,15-20,3,No description provided,General,
smith front squat (clean grip),upper legs,3,High,Core,Body Weight,15-20,1,No description provided,General,
smith low bar squat,upper legs,3,High,Compound,Band,8-12,4,No description provided,General,
barbell low bar squat,upper legs,1,Medium,Cardio,Band,15-20,4,No description provided,General,
barbell high bar squat,upper legs,1,High,Pull,Barbell,8-12,2,No description provided,General,
dumbbell romanian deadlift,upper legs,3,Low,Isolation,Band,12-15,4,No description provided,General,
walking lunge,upper legs,2,Medium,Pull,Kettlebell,12-15,2,No description provided,General,
barbell full squat (back pov),upper legs,1,High,Isolation,Machine,12-15,1,No description provided,General,
barbell full squat (side pov),upper legs,1,Medium,Pull,Band,8-12,4,No description provided,General,
sled 45° leg press (side pov),upper legs,3,Medium,Isolation,None,Max Effort,2,No description provided,General,
sled 45в° leg press (back pov),upper legs,1,Medium,Push,Cable,Max Effort,4,No description provided,General,
twist hip lift,upper legs,5,Medium,Pull,Machine,8-12,4,No description provided,General,
forward jump,upper legs,5,Low,Cardio,Dumbbell,15-20,2,No description provided,General,
backward jump,upper legs,4,High,Push,Kettlebell,Max Effort,3,No description provided,General,
one leg squat,upper legs,1,Medium,Pull,None,Max Effort,1,No description provided,General,
sissy squat,upper legs,4,Low,Push,None,8-12,1,No description provided,General,
butterfly yoga pose,upper legs,3,Medium,Push,Cable,15-20,3,No description provided,General,
hamstring stretch,upper legs,4,Medium,Core,Barbell,12-15,2,No description provided,General,
all fours squad stretch,upper legs,4,Medium,Isolation,None,8-12,3,No description provided,General,
barbell full zercher squat,upper legs,4,Low,Pull,None,15-20,4,No description provided,General,
chair leg extended stretch,upper legs,3,Low,Isolation,Band,15-20,4,No description provided,General,
exercise ball hip flexor stretch,upper legs,3,High,Compound,Machine,8-12,2,No description provided,General,
exercise ball seated hamstring stretch,upper legs,4,Low,Compound,Dumbbell,8-12,1,No description provided,General,
intermediate hip flexor and quad stretch,upper legs,1,Medium,Pull,Cable,8-12,2,No description provided,General,
leg up hamstring stretch,upper legs,5,High,Pull,Machine,12-15,3,No description provided,General,
reclining big toe pose with rope,upper legs,3,High,Isolation,Kettlebell,15-20,1,No description provided,General,
runners stretch,upper legs,4,Medium,Push,Band,Max Effort,4,No description provided,General,
seated wide angle pose sequence,upper legs,5,High,Core,Machine,8-12,2,No description provided,General,
standing hamstring and calf stretch with strap,upper legs,1,Medium,Pull,Kettlebell,8-12,2,No description provided,General,
world greatest stretch,upper legs,4,Medium,Compound,Machine,8-12,2,No description provided,General,
squat to overhead reach,upper legs,5,High,Isolation,Machine,12-15,2,No description provided,General,
squat to overhead reach with twist,upper legs,3,High,Isolation,Dumbbell,8-12,4,No description provided,General,
squat on bosu ball,upper legs,5,High,Compound,Body Weight,8-12,1,No description provided,General,
assisted lying glutes stretch,upper legs,3,Medium,Pull,Body Weight,Max Effort,3,No description provided,General,
assisted lying gluteus and piriformis stretch,upper legs,1,Medium,Pull,Cable,Max Effort,4,No description provided,General,
assisted side lying adductor stretch,upper legs,3,High,Pull,Dumbbell,8-12,4,No description provided,General,
assisted prone lying quads stretch,upper legs,5,Low,Isolation,Barbell,8-12,3,No description provided,General,
barbell single leg deadlift,upper legs,1,High,Core,Machine,8-12,2,No description provided,General,
dumbbell single leg deadlift,upper legs,3,Low,Isolation,Body Weight,Max Effort,4,No description provided,General,
single leg squat (pistol) male,upper legs,5,Medium,Isolation,Body Weight,12-15,4,No description provided,General,
dumbbell goblet squat,upper legs,2,Low,Pull,Body Weight,15-20,3,No description provided,General,
self assisted inverse leg curl,upper legs,2,High,Isolation,Cable,15-20,1,No description provided,General,
side bridge hip abduction,upper legs,5,High,Core,None,15-20,3,No description provided,General,
side plank hip adduction,upper legs,1,High,Isolation,Kettlebell,12-15,4,No description provided,General,
farmers walk,upper legs,5,Low,Core,Cable,Max Effort,1,No description provided,General,
roller hip stretch,upper legs,1,High,Core,Body Weight,8-12,4,No description provided,General,
roller hip lat stretch,upper legs,2,Medium,Cardio,Machine,8-12,3,No description provided,General,
lever hip extension v. 2,upper legs,3,Low,Push,None,Max Effort,1,No description provided,General,
lever alternate leg press,upper legs,5,Medium,Isolation,Cable,15-20,1,No description provided,General,
split squats,upper legs,4,Low,Isolation,Machine,15-20,1,No description provided,General,
inverse leg curl (on pull-up cable machine),upper legs,2,High,Push,Machine,12-15,3,No description provided,General,
tire flip,upper legs,2,Low,Pull,Dumbbell,Max Effort,2,No description provided,General,
seated piriformis stretch,upper legs,2,Medium,Cardio,Kettlebell,15-20,2,No description provided,General,
rocking frog stretch,upper legs,2,High,Cardio,Body Weight,8-12,1,No description provided,General,
lever horizontal one leg press,upper legs,4,High,Compound,Dumbbell,Max Effort,3,No description provided,General,
dumbbell step-up lunge,upper legs,4,High,Compound,Dumbbell,8-12,3,No description provided,General,
barbell squat jump step rear lunge,upper legs,4,High,Core,Kettlebell,Max Effort,3,No description provided,General,
dumbbell supported squat,upper legs,2,Medium,Core,Machine,Max Effort,1,No description provided,General,
dumbbell single leg deadlift with stepbox support,upper legs,4,Low,Core,Cable,Max Effort,1,No description provided,General,
dumbbell sumo pull through,upper legs,3,High,Compound,Band,15-20,2,No description provided,General,
barbell split squat v. 2,upper legs,1,High,Isolation,None,8-12,4,No description provided,General,
dumbbell step-up split squat,upper legs,1,Low,Pull,Machine,15-20,3,No description provided,General,
resistance band seated hip abduction,upper legs,2,Medium,Compound,Barbell,8-12,1,No description provided,General,
resistance band leg extension,upper legs,4,Low,Push,Body Weight,15-20,1,No description provided,General,
low glute bridge on floor,upper legs,1,Medium,Push,None,Max Effort,2,No description provided,General,
potty squat with support,upper legs,5,High,Pull,Barbell,Max Effort,2,No description provided,General,
smith sumo squat,upper legs,2,High,Pull,Band,15-20,2,No description provided,General,
glute-ham raise,upper legs,5,High,Cardio,Body Weight,12-15,4,No description provided,General,
frankenstein squat,upper legs,3,High,Core,Band,8-12,3,No description provided,General,
lever lying two-one leg curl,upper legs,1,Medium,Compound,Dumbbell,8-12,3,No description provided,General,
basic toe touch (male),upper legs,1,Medium,Cardio,Kettlebell,Max Effort,2,No description provided,General,
arms apart circular toe touch (male),upper legs,1,Medium,Push,Barbell,8-12,2,No description provided,General,
hands reversed clasped circular toe touch (male),upper legs,4,High,Compound,Cable,15-20,1,No description provided,General,
hands clasped circular toe touch (male),upper legs,3,High,Compound,Band,15-20,3,No description provided,General,
cable assisted inverse leg curl,upper legs,3,Medium,Compound,Dumbbell,12-15,2,No description provided,General,
resistance band hip thrusts on knees (female),upper legs,1,Low,Cardio,Barbell,12-15,1,No description provided,General,
smith full squat,upper legs,4,High,Core,Kettlebell,15-20,3,No description provided,General,
swimmer kicks v. 2 (male),upper legs,3,High,Pull,Dumbbell,15-20,3,No description provided,General,
forward lunge (male),upper legs,4,Medium,Compound,Barbell,Max Effort,4,No description provided,General,
glute bridge two legs on bench (male),upper legs,3,Low,Core,Barbell,8-12,1,No description provided,General,
quads,upper legs,4,High,Compound,None,8-12,4,No description provided,General,
bodyweight drop jump squat,upper legs,1,Low,Isolation,Body Weight,8-12,1,No description provided,General,
quick feet v. 2,upper legs,5,Medium,Core,Barbell,8-12,4,No description provided,General,
glute bridge march,upper legs,3,High,Core,Kettlebell,Max Effort,2,No description provided,General,
barbell glute bridge two legs on bench (male),upper legs,3,Medium,Cardio,None,8-12,1,No description provided,General,
lunge with jump,upper legs,3,Medium,Cardio,Kettlebell,12-15,2,No description provided,General,
dumbbell contralateral forward lunge,upper legs,5,Medium,Compound,Dumbbell,8-12,3,No description provided,General,
bent knee lying twist (male),upper legs,2,High,Core,Dumbbell,Max Effort,4,No description provided,General,
weighted stretch lunge,upper legs,1,Low,Compound,Dumbbell,Max Effort,1,No description provided,General,
weighted cossack squats (male),upper legs,3,High,Cardio,Kettlebell,15-20,4,No description provided,General,
weighted lunge with swing,upper legs,3,Low,Core,Band,12-15,2,No description provided,General,
single leg bridge with outstretched leg,upper legs,1,High,Pull,Band,8-12,3,No description provided,General,
pike-to-cobra push-up,upper legs,1,High,Isolation,Machine,12-15,3,No description provided,General,
side lying hip adduction (male),upper legs,4,High,Pull,Dumbbell,15-20,2,No description provided,General,
lever seated good morning,upper legs,5,Low,Core,Machine,15-20,3,No description provided,General,
curtsey squat,upper legs,5,Medium,Push,Barbell,Max Effort,2,No description provided,General,
dumbbell one arm snatch,upper legs,4,Low,Isolation,Machine,12-15,1,No description provided,General,
3/4 sit-up,waist,5,High,Cardio,Machine,Max Effort,1,No description provided,General,
45° side bend,waist,1,Low,Pull,None,Max Effort,2,No description provided,General,
air bike,waist,5,Medium,Push,Dumbbell,Max Effort,1,No description provided,General,
alternate heel touchers,waist,1,Medium,Isolation,Body Weight,Max Effort,3,No description provided,General,
assisted hanging knee raise with throw down,waist,2,High,Cardio,Machine,12-15,2,No description provided,General,
assisted hanging knee raise,waist,3,Medium,Core,Body Weight,12-15,1,No description provided,General,
assisted lying leg raise with lateral throw down,waist,1,Low,Core,Band,8-12,2,No description provided,General,
assisted lying leg raise with throw down,waist,2,Low,Isolation,Machine,12-15,4,No description provided,General,
assisted motion russian twist,waist,1,Medium,Compound,Kettlebell,12-15,1,No description provided,General,
barbell press sit-up,waist,4,Medium,Push,None,15-20,4,No description provided,General,
barbell rollerout from bench,waist,4,Medium,Compound,None,8-12,2,No description provided,General,
barbell rollerout,waist,1,High,Compound,Band,15-20,3,No description provided,General,
barbell seated twist,waist,1,High,Cardio,Barbell,Max Effort,3,No description provided,General,
barbell side bent v. 2,waist,2,Low,Isolation,Body Weight,8-12,2,No description provided,General,
barbell standing ab rollerout,waist,5,Medium,Push,Body Weight,8-12,4,No description provided,General,
barbell standing twist,waist,5,High,Compound,None,Max Effort,3,No description provided,General,
bottoms-up,waist,3,Medium,Compound,Barbell,Max Effort,2,No description provided,General,
cable judo flip,waist,3,High,Push,Kettlebell,12-15,3,No description provided,General,
cable kneeling crunch,waist,4,Low,Isolation,None,15-20,1,No description provided,General,
cable russian twists (on stability ball),waist,4,High,Pull,Dumbbell,8-12,2,No description provided,General,
cable seated crunch,waist,2,High,Core,Cable,Max Effort,2,No description provided,General,
cable side bend crunch (bosu ball),waist,5,Medium,Core,Kettlebell,Max Effort,1,No description provided,General,
cable side bend,waist,4,High,Compound,Cable,12-15,2,No description provided,General,
cable side crunch,waist,5,Low,Pull,None,Max Effort,1,No description provided,General,
cable standing crunch,waist,1,High,Cardio,Body Weight,12-15,1,No description provided,General,
cable standing lift,waist,1,Low,Isolation,None,12-15,1,No description provided,General,
cable tuck reverse crunch,waist,1,High,Compound,None,15-20,3,No description provided,General,
cable twist,waist,4,Medium,Push,None,Max Effort,1,No description provided,General,
cocoons,waist,1,Low,Cardio,Machine,Max Effort,1,No description provided,General,
cross body crunch,waist,1,Medium,Core,Dumbbell,15-20,4,No description provided,General,
crunch (hands overhead),waist,1,Low,Push,None,Max Effort,1,No description provided,General,
crunch (on stability ball),waist,4,High,Pull,Cable,8-12,2,No description provided,General,
crunch (on stability ball,waist,5,Low,Pull,Body Weight,12-15,1,No description provided,General,
arms straight),waist,3,Low,Push,None,Max Effort,4,No description provided,General,
crunch floor,waist,2,High,Isolation,Body Weight,12-15,1,No description provided,General,
dead bug,waist,2,High,Cardio,Kettlebell,Max Effort,4,No description provided,General,
decline crunch,waist,5,Medium,Compound,None,12-15,4,No description provided,General,
decline sit-up,waist,5,Low,Isolation,Dumbbell,8-12,2,No description provided,General,
dumbbell side bend,waist,4,Low,Pull,None,8-12,4,No description provided,General,
elbow-to-knee,waist,3,High,Push,Dumbbell,8-12,3,No description provided,General,
flexion leg sit up (bent knee),waist,1,Medium,Core,Barbell,Max Effort,2,No description provided,General,
flexion leg sit up (straight arm),waist,1,Medium,Compound,Body Weight,12-15,2,No description provided,General,
front plank with twist,waist,1,High,Isolation,Barbell,12-15,4,No description provided,General,
gorilla chin,waist,1,High,Isolation,Dumbbell,Max Effort,4,No description provided,General,
groin crunch,waist,2,Low,Core,None,12-15,2,No description provided,General,
hanging leg raise,waist,1,Low,Compound,Band,15-20,2,No description provided,General,
hanging pike,waist,1,Medium,Push,Barbell,15-20,3,No description provided,General,
hanging straight leg hip raise,waist,3,High,Pull,None,8-12,2,No description provided,General,
hanging straight leg raise,waist,1,Medium,Cardio,Body Weight,12-15,3,No description provided,General,
hanging straight twisting leg hip raise,waist,5,Medium,Core,Kettlebell,8-12,4,No description provided,General,
hip raise (bent knee),waist,2,High,Core,Body Weight,15-20,1,No description provided,General,
incline leg hip raise (leg straight),waist,2,High,Cardio,Dumbbell,8-12,1,No description provided,General,
incline twisting sit-up,waist,1,High,Core,Body Weight,12-15,2,No description provided,General,
jackknife sit-up,waist,1,Low,Compound,Band,12-15,4,No description provided,General,
janda sit-up,waist,2,High,Compound,Kettlebell,8-12,1,No description provided,General,
kettlebell advanced windmill,waist,5,High,Pull,Machine,Max Effort,2,No description provided,General,
kettlebell bent press,waist,3,High,Compound,Cable,8-12,4,No description provided,General,
kettlebell double windmill,waist,3,Low,Cardio,Kettlebell,Max Effort,1,No description provided,General,
kettlebell figure 8,waist,2,High,Compound,Band,Max Effort,1,No description provided,General,
kettlebell windmill,waist,2,High,Pull,None,Max Effort,1,No description provided,General,
landmine 180,waist,1,Medium,Push,Dumbbell,Max Effort,1,No description provided,General,
leg pull in flat bench,waist,4,High,Cardio,None,8-12,2,No description provided,General,
lever kneeling twist,waist,4,High,Isolation,Machine,15-20,3,No description provided,General,
lever seated crunch (chest pad),waist,1,Low,Isolation,Kettlebell,12-15,1,No description provided,General,
lever seated leg raise crunch,waist,1,Medium,Cardio,Machine,Max Effort,4,No description provided,General,
lying leg raise flat bench,waist,3,Medium,Core,Machine,8-12,3,No description provided,General,
negative crunch,waist,3,Medium,Cardio,Cable,15-20,3,No description provided,General,
oblique crunches floor,waist,3,Low,Cardio,Dumbbell,Max Effort,1,No description provided,General,
one arm slam (with medicine ball),waist,3,High,Cardio,Cable,Max Effort,3,No description provided,General,
otis up,waist,1,Low,Core,Dumbbell,15-20,2,No description provided,General,
pull-in (on stability ball),waist,4,High,Isolation,Barbell,12-15,2,No description provided,General,
push-up to side plank,waist,3,Low,Cardio,Kettlebell,8-12,4,No description provided,General,
russian twist,waist,1,Low,Push,Machine,8-12,2,No description provided,General,
seated leg raise,waist,3,High,Push,Barbell,12-15,3,No description provided,General,
seated side crunch (wall),waist,1,Low,Push,Cable,15-20,2,No description provided,General,
side bridge v. 2,waist,2,Medium,Cardio,None,8-12,2,No description provided,General,
side hip (on parallel bars),waist,1,Medium,Compound,Machine,15-20,3,No description provided,General,
sit-up v. 2,waist,1,Medium,Compound,Machine,15-20,4,No description provided,General,
smith hip raise,waist,2,Medium,Cardio,Dumbbell,12-15,4,No description provided,General,
spell caster,waist,2,Medium,Pull,Body Weight,15-20,1,No description provided,General,
standing wheel rollerout,waist,2,Medium,Cardio,Band,15-20,1,No description provided,General,
suspended abdominal fallout,waist,3,Medium,Push,None,Max Effort,1,No description provided,General,
suspended reverse crunch,waist,2,Medium,Core,Kettlebell,15-20,4,No description provided,General,
vertical leg raise (on parallel bars),waist,3,High,Cardio,Dumbbell,15-20,2,No description provided,General,
weighted crunch,waist,5,Medium,Compound,Barbell,15-20,2,No description provided,General,
weighted overhead crunch (on stability ball),waist,1,Medium,Pull,Cable,12-15,4,No description provided,General,
weighted russian twist (legs up),waist,4,Low,Cardio,Kettlebell,8-12,4,No description provided,General,
weighted russian twist,waist,1,Low,Cardio,Band,Max Effort,2,No description provided,General,
weighted seated twist (on stability ball),waist,3,High,Compound,Machine,12-15,2,No description provided,General,
weighted side bend (on stability ball),waist,2,High,Pull,Machine,Max Effort,4,No description provided,General,
wheel rollerout,waist,2,Medium,Pull,Machine,8-12,1,No description provided,General,
wind sprints,waist,1,High,Compound,Body Weight,Max Effort,2,No description provided,General,
cable twist (up-down),waist,1,Medium,Compound,Kettlebell,15-20,1,No description provided,General,
lying leg-hip raise,waist,2,Low,Pull,Dumbbell,12-15,4,No description provided,General,
weighted hanging leg-hip raise,waist,1,Medium,Compound,Barbell,12-15,2,No description provided,General,
butt-ups,waist,3,High,Cardio,Barbell,8-12,4,No description provided,General,
tuck crunch,waist,3,Low,Compound,Kettlebell,12-15,3,No description provided,General,
reverse crunch,waist,5,Medium,Cardio,Kettlebell,8-12,4,No description provided,General,
cable reverse crunch,waist,5,High,Compound,Dumbbell,Max Effort,4,No description provided,General,
cable standing crunch (with rope attachment),waist,1,Low,Cardio,Machine,8-12,2,No description provided,General,
band alternating v-up,waist,4,Low,Compound,Cable,8-12,2,No description provided,General,
band assisted wheel rollerout,waist,3,Medium,Isolation,Band,15-20,2,No description provided,General,
band bicycle crunch,waist,2,High,Pull,None,15-20,4,No description provided,General,
band horizontal pallof press,waist,5,High,Isolation,Band,8-12,3,No description provided,General,
band jack knife sit-up,waist,5,Medium,Cardio,Barbell,8-12,1,No description provided,General,
band kneeling twisting crunch,waist,1,Low,Isolation,None,15-20,2,No description provided,General,
band push sit-up,waist,1,Low,Cardio,Dumbbell,15-20,3,No description provided,General,
band lying straight leg raise,waist,4,High,Pull,Cable,Max Effort,3,No description provided,General,
band standing crunch,waist,4,Low,Compound,Kettlebell,8-12,3,No description provided,General,
band standing twisting crunch,waist,3,High,Push,Band,12-15,1,No description provided,General,
band seated twist,waist,3,High,Cardio,Barbell,Max Effort,1,No description provided,General,
band v-up,waist,3,Low,Core,Kettlebell,8-12,2,No description provided,General,
band vertical pallof press,waist,5,Medium,Pull,Dumbbell,8-12,4,No description provided,General,
lever seated crunch,waist,5,Medium,Core,Kettlebell,15-20,3,No description provided,General,
crab twist toe touch,waist,5,Low,Isolation,Machine,Max Effort,4,No description provided,General,
inchworm,waist,5,High,Push,Band,12-15,2,No description provided,General,
oblique crunch v. 2,waist,2,High,Compound,Barbell,12-15,1,No description provided,General,
sledge hammer,waist,5,Low,Cardio,Dumbbell,15-20,4,No description provided,General,
posterior step to overhead reach,waist,3,High,Cardio,Band,Max Effort,4,No description provided,General,
lunge with twist,waist,4,Low,Compound,Kettlebell,8-12,3,No description provided,General,
prone twist on stability ball,waist,1,Medium,Core,None,8-12,2,No description provided,General,
assisted prone rectus femoris stretch,waist,5,Low,Compound,Cable,15-20,3,No description provided,General,
assisted sit-up,waist,2,High,Pull,Machine,12-15,3,No description provided,General,
hanging oblique knee raise,waist,1,Low,Compound,Kettlebell,12-15,3,No description provided,General,
hanging leg hip raise,waist,4,High,Cardio,Barbell,15-20,1,No description provided,General,
weighted front plank,waist,4,High,Cardio,Kettlebell,15-20,1,No description provided,General,
roller body saw,waist,3,Medium,Isolation,Machine,15-20,4,No description provided,General,
roller reverse crunch,waist,2,Medium,Isolation,None,12-15,3,No description provided,General,
stability ball crunch (full range hands behind head),waist,2,High,Pull,Kettlebell,Max Effort,1,No description provided,General,
lying elbow to knee,waist,3,Medium,Core,Kettlebell,15-20,1,No description provided,General,
spine twist,waist,1,Medium,Pull,None,12-15,4,No description provided,General,
